Style,OG,FG,ABV,IBU,Color
0,1.108,1.022,11.3,105.98,33.13
0,1.13,1.029,13.25,52.99,24.36
0,1.1,1.017,10.9,106.7,13.8
0,1.099,1.017,10.73,28.01,19.15
0,1.095,1.024,9.32,102.3,11.43
1,1.109,1.025,11.05,64.11,16.13
0,1.105,1.026,10.35,0,16
0,1.083,1.021,8.14,73.89,16.69
0,1.134,1.029,13.89,45.15,14.51
1,1.095,1.017,10.2,61.34,12.21
1,1.095,1.022,9.56,58.69,17.39
0,1.1,1.024,10.08,84.41,13.36
0,1.069,1.018,6.63,19.49,14.06
1,1.101,1.019,10.78,85.49,22.56
1,1.101,1.015,11.31,96.24,31.54
0,1.098,1.024,9.64,82.05,10.16
0,1.099,1.023,10.04,66.42,16.63
1,1.103,1.024,10.35,39.74,21.18
1,1.129,1.019,14.44,85.72,18.56
1,1.093,1.023,9.12,98.56,22.53
1,1.113,1.026,11.46,51.04,19
0,1.109,1.017,12.1,50.69,10.51
0,1.111,1.025,11.31,84.69,14.47
1,1.12,1.022,12.93,96.27,13.14
1,1.092,1.014,10.26,53.44,24.7
0,1.107,1.031,10,80.3,12.75
0,1.092,1.016,10,99.97,17.86
1,1.102,1.028,9.66,48.59,9.41
1,1.09,1.014,10.05,58.98,24.52
1,1.098,1.023,9.79,87.59,21.32
0,1.09,1.018,9.48,117.77,12.43
0,1.097,1.016,10.65,60.19,14.78
1,1.09,1.025,9.42,62.43,16.87
1,1.109,1.03,10.49,44.65,21.79
0,1.1,1.025,9.87,0,19.97
0,1.104,1.024,10.55,118.63,14.55
1,1.115,1.029,11.3,65.63,11.55
0,1.086,1.016,9.25,74.69,15.8
0,1.091,1.027,8.45,93.04,16.51
1,1.108,1.018,11.87,36.22,6.49
0,1.108,1.025,10.97,116.44,21.74
0,1.098,1.02,10.22,85.94,10.68
0,1.12,1.022,12.87,115.81,20.25
0,1.071,1.018,7.03,95.91,15.01
1,1.1,1.023,10.13,77.05,13.81
0,1.108,1.022,11.28,62.02,15.51
0,1.092,1.021,10.11,84.19,13.2
0,1.095,1.017,10.21,119.86,14.41
0,1.131,1.031,13.1,106.53,14.94
0,1.133,1.031,13.34,98.64,27.18
0,1.104,1.023,11.83,89.55,20.46
0,1.115,1.027,11.55,93.19,18.11
0,1.092,1.023,9.02,110.13,11.85
1,1.1,1.025,9.78,38.63,13.68
0,1.115,1.029,11.29,0,16.28
0,1.105,1.026,10.35,119.29,9.52
0,1.093,1.022,9.35,55.72,9.23
0,1.084,1.013,9.33,112.9,11.93
1,1.112,1.026,11.28,79.18,16.51
1,1.085,1.021,8.33,49.57,22.15
0,1.091,1.015,9.96,0,18.8
0,1.11,1.032,11.62,97.66,9.08
0,1.122,1.015,14.04,78.25,8.47
0,1.104,1.025,10.48,87,21.43
0,1.105,1.015,11.83,115.17,18.56
0,1.103,1.025,10.25,117.43,17.74
0,1.085,1.015,9.22,81.22,28.04
0,1.095,1.017,10.26,76.97,8.44
0,1.1,1.025,11,90,18.84
0,1.117,1.027,11.72,107.25,13.2
1,1.091,1.027,8.52,58.17,14.62
0,1.126,1.016,14.44,95.54,17.5
1,1.106,1.024,10.8,46.16,9.59
0,1.103,1.024,10.31,118.07,16.42
